Alpha,CL,CD,CM
0,1.17E-07,0.0116636,-6.69E-08
0.5,0.03930361,0.0117541,-0.009746797
1,0.07798671,0.01204933,-0.01934029
1.5,0.1166706,0.01254645,-0.02893248
2,0.1553272,0.01324197,-0.03851263
2.5,0.1939333,0.01413966,-0.04806886
3,0.232498,0.01523645,-0.05760928
3.5,0.2710121,0.01653048,-0.06712938
4,0.3094648,0.01802079,-0.07662451
4.5,0.3478391,0.01970857,-0.08608658
5,0.3861141,0.02159352,-0.09550446
5.5,0.4243236,0.02367288,-0.1048893
6,0.4623867,0.02594581,-0.1142211
6.5,0.5003276,0.02840962,-0.1235032
7,0.5381182,0.03106483,-0.1327237
7.5,0.5757614,0.0339088,-0.1418814
8,0.6132165,0.03693942,-0.1509632
8.5,0.6504728,0.04015414,-0.1599639
9,0.6875272,0.04354841,-0.1688835
9.5,0.724353,0.04711986,-0.1777105
10,0.760887,0.05086684,-0.1864193
10.5,0.7971325,0.05478298,-0.1950124
11,0.8330292,0.05886458,-0.203466
11.5,0.868541,0.06310461,-0.2117666
12,0.9036207,0.06749509,-0.2198955
12.5,0.9382216,0.07202942,-0.227835
13,0.972258,0.07669725,-0.235552
13.5,1.005615,0.08148527,-0.2430023
14,1.03807,0.08637368,-0.2501004
14.5,1.06955,0.09133769,-0.2568124
15,1.099679,0.09635257,-0.2630047
15.5,1.127501,0.1013211,-0.2682688
16,1.152462,0.1061769,-0.2724252
16.5,1.175215,0.1110339,-0.2759652
17,1.195374,0.1159621,-0.2789791
17.5,1.212294,0.1209793,-0.2814479
18,1.225549,0.1263184,-0.2836751
